PRDM1.H12CORE.1.PS.A
EOMES.H12CORE.0.PSM.A
ZFP42.H12CORE.0.PM.A
FOXA2.H12CORE.0.PSM.A
FOXA3.H12CORE.0.PS.A
TBXT.H12CORE.0.PS.A
OTX2.H12CORE.0.PSM.A
HME1.H12CORE.0.PSM.A
OVOL2.H12CORE.0.PSM.A
AP2A.H12CORE.0.PSM.A
AP2C.H12CORE.0.PSM.A
SOX17.H12CORE.0.PS.A
NR5A2.H12CORE.0.PSM.A
DLX2.H12CORE.0.PSM.A
HNF4A.H12CORE.0.PSM.A
SIX3.H12CORE.0.SM.B
P5F1B.H12CORE.0.S.B
PRRX1.H12CORE.0.S.B
PO4F1.H12CORE.0.S.B
PO5F1.H12CORE.0.P.B
ZIC2.H12CORE.0.P.B
ZIC3.H12CORE.0.P.B
ZIC5.H12CORE.0.P.B
SRY.H12CORE.0.S.B
SOX2.H12CORE.0.P.B
SP5.H12CORE.0.P.B
VENTX.H12CORE.0.SM.B
TWST1.H12CORE.0.P.B
GRHL2.H12CORE.0.P.B
FOXA1.H12CORE.0.P.B
FOXD3.H12CORE.1.S.B
FOXH1.H12CORE.0.P.B
GSC.H12CORE.0.SM.B
HXA1.H12CORE.0.SM.B
HXB1.H12CORE.0.SM.B
HXB6.H12CORE.0.SM.B
CDX1.H12CORE.0.M.B
AP2B.H12CORE.0.SM.B
E2F7.H12CORE.1.P.B
EPAS1.H12CORE.0.P.B
MYBB.H12CORE.0.S.B
MIXL1.H12CORE.0.SM.B
NKX23.H12CORE.0.SM.B
NANOG.H12CORE.0.P.B
RFX6.H12CORE.0.P.C
MESP1.H12CORE.0.S.C
