KLF8.H12CORE.1.P.C
SOX5.H12CORE.0.P.B
AHR.H12CORE.0.P.B
COE1.H12CORE.0.P.B
FOS.H12CORE.0.P.B
ZEB2.H12CORE.0.P.B
RUNX1.H12CORE.0.P.B
NFE2.H12CORE.1.SM.B
SPIB.H12CORE.2.SM.B
KLF1.H12CORE.0.P.B
GATA1.H12CORE.1.PSM.A
ASCL2.H12CORE.0.PSM.A
BACH1.H12CORE.0.P.B
BACH2.H12CORE.0.P.B
CEBPD.H12CORE.0.P.B
CREB5.H12CORE.1.SM.B
CUX1.H12CORE.0.PM.A
E2F2.H12CORE.0.S.B
E2F7.H12CORE.1.P.B
E2F8.H12CORE.1.SM.B
EOMES.H12CORE.0.PSM.A
ERG.H12CORE.1.SM.B
ESR1.H12CORE.1.P.B
ESR2.H12CORE.1.P.B
ETS1.H12CORE.0.S.B
ETV6.H12CORE.0.PS.A
FLI1.H12CORE.0.PSM.A
FOSB.H12CORE.0.P.B
FOSL2.H12CORE.0.P.B
FOXO3.H12CORE.0.PS.A
FOXP1.H12CORE.0.PS.A
FOXP2.H12CORE.0.P.B
GATA3.H12CORE.0.PS.A
GLI1.H12CORE.0.P.C
HIC1.H12CORE.0.PSM.A
HIF1A.H12CORE.0.P.B
HLF.H12CORE.0.P.B
IRF1.H12CORE.0.P.B
IRF4.H12CORE.1.S.B
IRF5.H12CORE.1.S.B
JDP2.H12CORE.0.SM.B
JUN.H12CORE.0.P.B
JUNB.H12CORE.0.PM.A
KLF12.H12CORE.1.PSM.A
KLF2.H12CORE.0.S.C
KLF4.H12CORE.0.PSM.A
KLF6.H12CORE.1.SM.B
LEF1.H12CORE.0.PSM.A
MAF.H12CORE.0.PM.A
MAFF.H12CORE.0.PSM.A
MBNL2.H12CORE.0.S.C
MEF2C.H12CORE.1.SM.B
MEIS1.H12CORE.1.PS.A
MITF.H12CORE.0.P.B
MXI1.H12CORE.0.P.B
MYB.H12CORE.0.P.B
NFIA.H12CORE.1.PS.A
NR6A1.H12CORE.2.SM.B
PAX5.H12CORE.0.PS.A
PBX1.H12CORE.1.P.B
PBX3.H12CORE.0.P.B
PRDM1.H12CORE.1.PS.A
REL.H12CORE.0.P.B
RORA.H12CORE.0.P.C
RORB.H12CORE.0.SM.B
RUNX2.H12CORE.1.S.B
RUNX3.H12CORE.1.S.B
RXRA.H12CORE.0.PS.A
SOX13.H12CORE.0.P.B
SOX30.H12CORE.1.SM.B
SOX4.H12CORE.0.PSM.A
SOX6.H12CORE.0.P.B
STAT4.H12CORE.0.P.B
TAL1.H12CORE.1.P.B
TBX21.H12CORE.0.PSM.A
TCF7.H12CORE.0.PSM.A
TEAD2.H12CORE.0.PSM.A
TFAP4.H12CORE.0.PSM.A
TFDP1.H12CORE.0.P.B
TFEC.H12CORE.1.SM.B
TRPS1.H12CORE.0.P.B
XBP1.H12CORE.0.PS.A
ZEB1.H12CORE.0.P.B
